00226787382:CL:cl_init:113                                           | START
01348064754:UH:sc_phy_init:111                                       | fapi_l1_config_request : test -> cl
01348068363:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01348848875:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[2]
01349626239:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[2], PHY_STATE_[1]
01350689013:CL:lte_cphy_request:343                                  | CPHY CONFIG_REQ in 1, 36 tlv's
01351599973:CL:conv_apiInit_from_CONFIG_request:157                  | conf SFN/SF MAC 0/0
01352568255:CL:lte_cphy_request:375                                  | PHY_INIT_REQ : cl -> phy
01353397679:CL:FapiSendMsgToPhy:026                                  | msg(type=0xc, size=56) : cl -> phy
01354359893:CL:FapiCPHYApiHandler:175                                | reply(type=3, rc=0, cpu=0) : cl -> mac
01547744770:CL:FapiPHYMsgHandler:074                                 | msg(type=PHY_[0xd]) : phy -> cl
01548961299:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
01550321821:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_RXSTATUS_IND   
01551864088:CL:fapi_cl_handle_phy_command:652                        | cl change state PHY_STATE_CONFIGURED
01798100820:UH:fapi_receive_mesg:129                                 | msg (paramID='0x3', length='7'): cl -> test
01798119256:UH:sc_phy_init:117                                       | fapi_l1_config_response : cl -> test
01798125654:UH:sc_phy_init:138                                       | PHY Config RSP MSG OK
01798137227:UH:send_phy_start_request:182                            | fapi_l1_start_request: test -> cl
01798139582:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01798147057:UH:sc0_sent_empty_vectors:079                            | data(PHY=[0/0], UL=[1023/9], DL=[0/1]) : test -> cl
01798919836:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[4]
01799697109:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[4], PHY_STATE_[2]
01800760174:CL:FapiSendMsgToPhy:026                                  | msg(type=0x11, size=12) : cl -> phy
01801732181:CL:lte_cphy_request:452                                  | PHY_START_REQ : cl -> phy
01802577755:CL:FapiPHYMsgHandler:074                                 | msg(type=PHY_[0x12]) : phy -> cl
01804142270:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
01805541884:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_STOP_REQ       
01807123028:CL:fapi_cl_handle_phy_command:659                        | cl change state PHY_STATE_RUNNING
