02137500526:CL:fapi_cl_parse_fapi_tx_data:541                        | ApiHeader *pApi 0x3f504000
02138485657:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/2 -> 0/3
02139431480:CL:handle_DL_CONFIG_REQ:335                              | ApiParam * pParam 0x3f504010
02140364800:CL:conv_dlSubframeDescriptor_from_DL_CONFIG_request:536  | SFN/SF TX.v 0/3
02141493013:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/3 -> 0/1
02142438194:CL:handle_UL_CONFIG_REQ:370                              | ApiParam * pParam 0x3f50402c
02143371512:CL:conv_ulSubframeDescriptor_from_UL_CONFIG_request:1053 | SFN/SF RX.v 0/1
02144512671:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/1 -> 0/3
02145457872:CL:handle_TX_REQ:404                                     | ApiParam * pParam 0x3f50403c
02146300571:CL:fapi_cl_parse_fapi_tx_data:623                        | list () : cl -> PHY
02291556411:CL:FapiPHYMsgHandler:074                                 | PHY_TXSDU_REQ       : phy -> cl
02292479530:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
02293515991:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_TXSDU_REQ      
02294539871:CL:FapiSendMsgToMac:058                                  | msg(id=0x5105, param=0x82) : cl -> mac
02295555530:UH:scenarion_reactor:228                                 | Data is available now.
02295570805:UH:scenarion_reactor:241                                 | msg(msgIs=0x5105, len=12) : cl -> test
02295576084:UH:scenarion_reactor:248                                 | handle paramID=0x82, len=6
02295581940:UH:scenarion_reactor:263                                 | Subframe indication: 0/1
02295589823:UH:sc0_sent_empty_vectors:079                            | data(PHY=[0/1], UL=[0/2], DL=[0/4]) : test -> cl
02295598721:CL:FapiClApiHandler:095                                  | cl handle MAC msg(id=0d, type=5107, len=6)
02296651087:CL:fapi_cl_parse_fapi_tx_data:541                        | ApiHeader *pApi 0x3f504000
02297636249:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/3 -> 0/4
02298582038:CL:handle_DL_CONFIG_REQ:335                              | ApiParam * pParam 0x3f504010
02299515352:CL:conv_dlSubframeDescriptor_from_DL_CONFIG_request:536  | SFN/SF TX.v 0/4
02300643597:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/4 -> 0/2
02301588756:CL:handle_UL_CONFIG_REQ:370                              | ApiParam * pParam 0x3f50402c
02302522063:CL:conv_ulSubframeDescriptor_from_UL_CONFIG_request:1053 | SFN/SF RX.v 0/2
02303663275:CL:fapi_cl_parse_fapi_tx_data:574                        | align SFN/SF 0/2 -> 0/4
02304608443:CL:handle_TX_REQ:404                                     | ApiParam * pParam 0x3f50403c
02305451147:CL:fapi_cl_parse_fapi_tx_data:623                        | list () : cl -> PHY
02453872424:CL:FapiPHYMsgHandler:074                                 | PHY_TXHIADCIUL_REQ  : phy -> cl
02455063647:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
02456903904:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_TXHIADCIUL_REQ 
02458109192:CL:fapi_cl_handle_phy_command:664                        | cl change state PHY_STATE_RUNNING
02460234706:CL:FapiSendMsgToMac:058                                  | msg(id=0x5105, param=0x6) : cl -> mac
02461535344:UH:scenarion_reactor:228                                 | Data is available now.
02461550496:UH:scenarion_reactor:241                                 | msg(msgIs=0x5105, len=8) : cl -> test
02461555920:UH:scenarion_reactor:248                                 | handle paramID=0x6, len=4
