00227699993:CL:cl_init:113                                           | START
01327944009:UH:sc_phy_init:111                                       | fapi_l1_config_request : test -> cl
01327947031:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01328727384:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[2]
01329504752:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[2], PHY_STATE_[1]
01330567516:CL:lte_cphy_request:343                                  | CPHY CONFIG_REQ in 1, 36 tlv's
01331478532:CL:conv_apiInit_from_CONFIG_request:157                  | conf SFN/SF MAC 0/0
01332446787:CL:lte_cphy_request:375                                  | PHY_INIT_REQ : cl -> phy
01333276168:CL:FapiSendMsgToPhy:026                                  | msg(type=PHY_INIT_REQ       , size=56) : cl -> phy
01334445836:CL:FapiCPHYApiHandler:175                                | reply(type=3, rc=0, cpu=0) : cl -> mac
01528307708:CL:FapiPHYMsgHandler:074                                 | PHY_INIT_IND        : phy -> cl
01529524126:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
01530884646:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_INIT_IND       
01532426888:CL:fapi_cl_handle_phy_command:652                        | cl change state PHY_STATE_CONFIGURED
01777978875:UH:fapi_receive_mesg:129                                 | msg (paramID='0x3', length='7'): cl -> test
01777988937:UH:sc_phy_init:117                                       | fapi_l1_config_response : cl -> test
01777997838:UH:sc_phy_init:138                                       | PHY Config RSP MSG OK
01778009571:UH:send_phy_start_request:182                            | fapi_l1_start_request: test -> cl
01778011989:CL:FapiCPHYApiHandler:127                                | rcv ICPU msg 0x5107
01778019737:UH:sc0_sent_empty_vectors:079                            | data(PHY=[0/0], UL=[1023/9], DL=[0/1]) : test -> cl
01778792363:CL:FapiCPHYApiHandler:163                                | handle FAPI_L1_[4]
01779569585:CL:lte_cphy_request:293                                  | cl takes action FAPI_L1_[4], PHY_STATE_[2]
01780632720:CL:FapiSendMsgToPhy:026                                  | msg(type=PHY_START_REQ      , size=12) : cl -> phy
01781799036:CL:lte_cphy_request:452                                  | PHY_START_REQ : cl -> phy
01782644700:CL:FapiPHYMsgHandler:074                                 | PHY_START_CONF      : phy -> cl
01784196225:CL:fapi_cl_handle_phy_command:642                        | PGENMSGDESC pMsgHdr 0x2931a1c0
01785595845:CL:fapi_cl_handle_phy_command:647                        | cl handle PHY_START_CONF     
01787176976:CL:fapi_cl_handle_phy_command:659                        | cl change state PHY_STATE_RUNNING
01787646754:CL:FapiClApiHandler:095                                  | cl handle MAC msg(id=0d, type=5107, len=6)
01789782207:CL:fapi_cl_parse_fapi_tx_data:541                        | ApiHeader *pApi 0x3f504000
